,limprep_cd150minus_C10,limprep_cd150minus_C12,limprep_cd150minus_C6,limprep_cd150minus_C9,limprep_cd150minus_D11,limprep_cd150minus_D12,limprep_cd150minus_D3,limprep_cd150minus_D4,limprep_cd150minus_D5,limprep_cd150minus_D8,limprep_cd150minus_D9,limprep_cd150plus_A10,limprep_cd150plus_A11,limprep_cd150plus_A3,limprep_cd150plus_A8,limprep_cd150plus_B11,limprep_cd150plus_B12,limprep_cd150plus_B3,limprep_cd150plus_B4,limprep_cd150plus_B9
ENSMUSG00000023935,73,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000023938,339,69,20,129,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000023939,310,199,180,276,37,101,173,91,7,0,55,1,0,155,5,106,1,96,94,370
ENSMUSG00000023940,329,121,162,8,0,0,0,158,352,235,0,0,0,0,0,0,0,0,0,118
ENSMUSG00000023942,2623,936,306,512,396,3,0,789,1178,569,56,0,0,1,0,160,1,0,152,869
ENSMUSG00000023944,19001,28253,14056,18286,8601,3297,2943,7442,7631,7470,7246,1745,1854,9518,3042,7838,4051,4868,1649,12897
ENSMUSG00000023947,0,0,0,0,470,885,0,0,0,0,0,2,0,0,0,0,45,0,0,0
ENSMUSG00000023951,127,125,0,13,0,7,0,22,0,107,0,1,1,0,46,36,0,0,616,199
ENSMUSG00000023952,666,291,263,223,525,151,0,40,0,0,318,6,282,1954,212,368,1099,9,461,126
ENSMUSG00000023953,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000023959,0,0,0,0,0,0,1,0,0,0,0,1,0,533,0,21,0,0,0,9
ENSMUSG00000023960,0,0,52,0,15,4,0,0,0,0,0,0,0,0,1,29,9,22,0,97
ENSMUSG00000023961,144,92,119,570,81,167,58,142,0,1,84,0,826,0,413,135,253,1,0,614
